City_locality,iso3,country,super_region,super_region_name,pm25,sat_2014
Marrakech,MAR,Morocco,2,N-Afr/MidEast,24.5,18.4259977340698
MARSEILLE,FRA,France,1,HighIncome,16,11.840833346049
"Marshall, MN",USA,United States of America,1,HighIncome,6,6.39400100708008
"Marshall, TX",USA,United States of America,1,HighIncome,9,7.1055006980896
MARTIGUES,FRA,France,1,HighIncome,11,10.5485019683838
MARTIN,SVK,Slovakia,4,E-Eur/C-Eur/C-Asia,17,19.3280029296875
Mashhad,IRN,Iran (Islamic Republic of),2,N-Afr/MidEast,32,21.1967544555664
Masterton,NZL,New Zealand,1,HighIncome,12,2.69999885559082
Matamata,NZL,New Zealand,1,HighIncome,6,2.43749856948853
MATAR´è_´è__,ESP,Spain,1,HighIncome,12,10.311502456665
MATOURY,FRA,France,1,HighIncome,13,6.60949945449829
MAUBEUGE,FRA,France,1,HighIncome,12,15.7904996871948
Maule,CHL,Chile,1,HighIncome,22,7.20600032806396
Mawlamyaing,MMR,Myanmar,6,SE-Asia/E-Asia/Oceania,69,29.4564971923828
Mazar-e Sharif,AFG,Afghanistan,3,S-Asia,68,33.3435020446777
MAZEIKIAI,LTU,Lithuania,4,E-Eur/C-Eur/C-Asia,18,14.6550025939941
"McAlester, OK",USA,United States of America,1,HighIncome,9,6.88099908828735
"McAllen-Edinburg-Mission, TX",USA,United States of America,1,HighIncome,10,6.63500022888184
MECHELEN,BEL,Belgium,1,HighIncome,16,16.6569995880127
MEDA,ITA,Italy,1,HighIncome,28,30.0195083618164
Medellin,COL,Colombia,5,LatAm/Carib,24,4.76262509822845
"Medford, OR",USA,United States of America,1,HighIncome,9,3.08599996566772
MEDIAS,ROU,Romania,4,E-Eur/C-Eur/C-Asia,20,22.3219966888428
Medina,SAU,Saudi Arabia,2,N-Afr/MidEast,66,33.6610069274902
MEDINA DEL CAMPO,ESP,Spain,1,HighIncome,13,8.33649921417236
Meerut,IND,India,3,S-Asia,69,84.7634887695312
Meikhtilar,MMR,Myanmar,6,SE-Asia/E-Asia/Oceania,33,29.9259986877441
Meizhou,CHN,China,6,SE-Asia/E-Asia/Oceania,34,30.0381609598796
Meknes,MAR,Morocco,2,N-Afr/MidEast,29,17.536003112793
Melbourne,AUS,Australia,1,HighIncome,8.1393116381,3.16364967823029
MELUN,FRA,France,1,HighIncome,17,15.3489990234375
"Memphis, TN-MS-AR",USA,United States of America,1,HighIncome,9.25,9.34825086593628
"Mena,Polk,AR",USA,United States of America,1,HighIncome,9,6.80550289154053
MENEN,BEL,Belgium,1,HighIncome,18,15.7534999847412
MERANO,ITA,Italy,1,HighIncome,10,13.4475021362305
MERATE,ITA,Italy,1,HighIncome,27,30.6155033111572
"Merced, CA",USA,United States of America,1,HighIncome,11,9.42375040054321
MERIDA,ESP,Spain,1,HighIncome,9,9.95950031280518
MERIGNAC,FRA,France,1,HighIncome,13,10.2779989242554
MESAGNE,ITA,Italy,1,HighIncome,16,16.9285011291504
METZ,FRA,France,1,HighIncome,14.6666666666667,15.6933342615763
MEWEGEN,DEU,Germany,1,HighIncome,12,15.5909996032715
Mexico city,MEX,Mexico,5,LatAm/Carib,19.6363636363636,11.6809997558594
